"ipState","ipState_risk"
"",-2.33214389523559
"`amman",-2.26176309847379
"a coruna",-2.34180580614733
"aargau",-2.28238238567653
"aberdeen city",-2.32238772029023
"abu zaby",-2.37954613413017
"acre",-2.26176309847379
"ad dawhah",-2.71469474382088
"adana",-2.31253542384721
"adis abeba",-2.21920348405499
"afyonkarahisar",-2.21920348405499
"agrigento",-2.21920348405499
"aguascalientes",-2.2512917986065
"aichi",-2.64998640014745
"ain",-2.29253475714054
"aisne",-2.23001440015921
"ajdovscina",-2.21920348405499
"akershus",-2.85070650150373
"akita",-2.12389330425067
"al `asimah",-2.27212588550934
"al ahmadi",-2.2082744135228
"al jizah",-2.26176309847379
"al kuwayt",-2.75366071235426
"al qahirah",-2.37024374146786
"alabama",-3.94753863838888
"alagoas",-2.29253475714054
"alajuela",-2.28238238567653
"alaska",-3.72970144863419
"alberta",-4.30811095172371
"alessandria",-2.35137525716348
"alger",-2.2512917986065
"alicante",-2.24070968927596
"allier",-2.23001440015921
"almaty",-2.2082744135228
"almaty city",-2.2512917986065
"alpes-maritimes",-2.85070650150373
"altayskiy kray",-2.24070968927596
"amazonas",-2.45958884180371
"amurskaya oblast'",-2.21920348405499
"analamanga",-2.2512917986065
"anatoliki makedonia kai thraki",-2.2082744135228
"ancona",-2.28238238567653
"andhra pradesh",-2.4932054526027
"andorra la vella",-2.2082744135228
"anhui",-2.2082744135228
"ankara",-2.74727091425549
"antalya",-2.23001440015921
"antioquia",-2.57261223020711
"antwerpen",-3.26193531432865
"aomori",-2.23001440015921
"ar riyad",-2.92398836869515
"arad",-2.2082744135228
"ardahan",-2.2082744135228
"ardeche",-2.23001440015921
"ardennes",-2.2082744135228
"arezzo",-2.2082744135228
"ariege",-2.2082744135228
"arizona",-3.88399757242942
"arkansas",-3.68748959982488
"arkhangel'skaya oblast'",-2.2512917986065
"arusha",-2.23001440015921
"ash shariqah",-2.2082744135228
"ash sharqiyah",-2.21920348405499
"astana",-2.21920348405499
"astrakhanskaya oblast'",-2.2082744135228
"asturias",-2.26176309847379
"asuncion",-2.29253475714054
"atlantico",-2.37024374146786
"atlantida",-2.2082744135228
"attiki",-2.65675690671466
"atyrau",-2.24070968927596
"aube",-2.26176309847379
"auckland",-3.77505715035499
"aude",-2.30258509299405
"aust-agder",-2.27212588550934
"australian capital territory",-3.18635263316264
"aveiro",-2.27212588550934
"aveyron",-2.2082744135228
"aydin",-2.2082744135228
"azores",-2.2082744135228
"azuay",-2.23001440015921
"bacau",-2.2082744135228
"baden-wuerttemberg",-4.27388447605418
"baghdad",-2.2082744135228
"bahia",-2.67414864942653
"baja california",-2.66025953726586
"baja california sur",-2.07944154167984
"baki",-2.27212588550934
"bali",-2.2082744135228
"balikesir",-2.2082744135228
"bamako",-2.21920348405499
"banskobystricky",-2.2082744135228
"barcelona",-3.80443779474821
"bari",-2.29253475714054
"barnsley",-2.26176309847379
"bas-rhin",-2.9391619220656
"basel-landschaft",-2.3887627892351
"basel-stadt",-2.26176309847379
"bashkortostan",-2.27212588550934
"bath and north east somerset",-2.32238772029023
"bayern",-4.01638302075239
"bedford",-2.4932054526027
"beijing shi",-2.66025953726586
"belait",-2.2082744135228
"belfast",-2.50959926237837
"belgorodskaya oblast'",-2.2512917986065
"belize",-2.21920348405499
"beograd",-2.29253475714054
"bergamo",-2.39789527279837
"berlin",-3.88567903008854
"bern",-2.47653840011748
"beyrouth",-2.28238238567653
"bioko norte",-2.21920348405499
"birmingham",-4.23501189171207
"bishkek",-2.2082744135228
"bizkaia",-2.42480272571829
"blackburn with darwen",-2.35137525716348
"blackpool",-2.10191439753189
"blantyre",-2.2082744135228
"blekinge lan",-2.62466859216316
"bologna",-2.43361335540045
"bolton",-2.41591377830105
"bolzano",-2.3887627892351
"bonaire",-2.2082744135228
"bouches-du-rhone",-3.16547504814109
"bournemouth",-2.31253542384721
"brabant wallon",-2.2082744135228
"bracknell forest",-2.33214389523559
"bradford",-2.4932054526027
"brandenburg",-2.36085400111802
"bratislavsky",-2.46809953147162
"bremen",-2.55722731136763
"brescia",-2.28238238567653
"brighton and hove",-2.59525470695687
"bristol",-2.8094026953625
"british columbia",-3.98141086062715
"brunei and muara",-2.23001440015921
"brussels",-3.87397493779062
"bryanskaya oblast'",-2.2082744135228
"buckinghamshire",-2.3887627892351
"bucuresti",-3.52636052461616
"budapest",-2.66025953726586
"buenos aires",-2.81704048481062
"burgas",-2.23001440015921
"burgenland",-2.23001440015921
"bursa",-2.35137525716348
"bury",-2.21920348405499
"buryatiya",-2.2082744135228
"busan gwangyeoksi",-2.28238238567653
"buskerud",-2.27212588550934
"cadiz",-2.2082744135228
"caerphilly",-2.2082744135228
"cagliari",-2.3887627892351
"calderdale",-2.24070968927596
"california",-4.37845777385933
"calvados",-2.65324196460722
"cambridgeshire",-2.77881927199042
"campeche",-2.21920348405499
"canterbury",-2.98736402388347
"capital",-2.45100509811232
"cardiff",-2.60268968544438
"carlow",-2.2082744135228
"cartago",-2.23001440015921
"castellon",-2.2082744135228
"castries",-2.27212588550934
"catania",-2.21920348405499
"catanzaro",-2.16645291866947
"cavan",-2.2082744135228
"cayenne",-2.26176309847379
"ceara",-2.40612577193489
"centar",-2.2082744135228
"central",-2.484906649788
"central bedfordshire",-2.33214389523559
"central eleuthera",-2.2082744135228
"central equatoria",-2.2082744135228
"centre",-2.2082744135228
"ceredigion",-2.24070968927596
"chaco",-2.2082744135228
"chandigarh",-2.23001440015921
"charente",-2.2512917986065
"charente-maritime",-2.26176309847379
"chelyabinskaya oblast'",-2.36085400111802
"cheshire east",-2.27212588550934
"cheshire west and chester",-2.27212588550934
"chiang mai",-2.2082744135228
"chiapas",-2.26176309847379
"chiba",-2.59931700096574
"chieti",-2.2082744135228
"chihuahua",-2.32238772029023
"chisinau",-2.23001440015921
"chongqing",-2.2512917986065
"chubut",-2.2082744135228
"chungcheongbuk-do",-2.23001440015921
"chungcheongnam-do",-2.24070968927596
"chuvashiya",-2.21920348405499
"city of freeport",-2.2082744135228
"ciudad de buenos aires",-3.44386382798106
"clare",-2.30258509299405
"cluj",-2.2082744135228
"coahuila de zaragoza",-2.3887627892351
"coast",-2.24070968927596
"cochabamba",-2.11296423371848
"coimbra",-2.2082744135228
"coleraine",-2.2082744135228
"colima",-2.24070968927596
"colon",-2.2082744135228
"colorado",-4.54047478980118
"como",-2.33214389523559
"connecticut",-4.12125201514202
"cordoba",-2.23001440015921
"cork",-2.61006979274201
"cornwall",-2.32238772029023
"correze",-2.21920348405499
"corrientes",-2.2082744135228
"cote-d'or",-2.82731362192903
"cotes-d'armor",-2.21920348405499
"coventry",-2.41591377830105
"cremona",-2.21920348405499
"cross river",-2.2082744135228
"cumbria",-2.21920348405499
"cundinamarca",-2.2082744135228
"cuneo",-2.2082744135228
"daegu gwangyeoksi",-2.23001440015921
"daejeon gwangyeoksi",-2.30258509299405
"dakar",-2.26176309847379
"dalarnas lan",-2.46809953147162
"dar es salaam",-2.26176309847379
"darlington",-2.2512917986065
"debrecen",-2.2082744135228
"delaware",-3.33494799612095
"delhi",-2.98061863574394
"demerara-mahaica",-2.23001440015921
"denizli",-2.21920348405499
"derby",-2.37024374146786
"derbyshire",-2.23001440015921
"derry",-2.3887627892351
"deux-sevres",-2.26176309847379
"devon",-2.66722820658196
"dhaka",-1.88273124743378
"district of columbia",-4.46820433091493
"distrito capital",-3.0834378539731
"distrito federal",-3.67154253446066
"distrito nacional",-2.484906649788
"diyarbakir",-2.2082744135228
"djibouti",-2.23001440015921
"dnipropetrovs'ka oblast'",-2.21920348405499
"dolnoslaskie",-2.26176309847379
"doncaster",-2.24070968927596
"donegal",-2.23001440015921
"donets'ka oblast'",-2.2082744135228
"dordogne",-2.2082744135228
"dorset",-2.23001440015921
"doubs",-2.26176309847379
"drenthe",-2.32238772029023
"drome",-2.29253475714054
"dubayy",-3.14728217168119
"dublin",-4.03069453514564
"dubrovacko-neretvanska",-2.2082744135228
"dudley",-2.34180580614733
"dundee city",-2.484906649788
"durango",-2.2082744135228
"durham",-2.27212588550934
"dytiki ellada",-2.2082744135228
"dytiki makedonia",-2.2082744135228
"east dunbartonshire",-2.21920348405499
"east riding of yorkshire",-2.21920348405499
"east sussex",-2.24070968927596
"eastern cape",-2.2082744135228
"edinburgh",-2.81540871942271
"edirne",-2.2082744135228
"ehime",-2.2512917986065
"el oro",-2.23001440015921
"english river",-2.2082744135228
"entre rios",-2.2082744135228
"erd",-2.23001440015921
"erongo",-2.2082744135228
"erzurum",-2.21920348405499
"eskisehir",-2.23001440015921
"espirito santo",-2.484906649788
"essex",-2.62466859216316
"essonne",-2.65324196460722
"estuaire",-2.21920348405499
"etela-karjala",-2.30258509299405
"etela-pohjanmaa",-2.2512917986065
"etela-savo",-2.27212588550934
"eure",-2.21920348405499
"eure-et-loir",-2.29253475714054
"falkirk",-2.2082744135228
"federation of bosnia and herze",-2.2082744135228
"ferrara",-2.2082744135228
"fife",-2.32238772029023
"finistere",-2.28238238567653
"finnmark",-2.28238238567653
"firenze",-2.50959926237837
"flevoland",-2.33214389523559
"florida",-4.31734921500147
"forli-cesena",-2.23001440015921
"fort-de-france",-2.39789527279837
"francisco morazan",-2.42480272571829
"fribourg",-2.2082744135228
"friesland",-2.2512917986065
"fujian",-2.2512917986065
"fukui",-1.90423745265475
"fukuoka",-2.42774823594805
"fukushima",-2.29253475714054
"galati",-2.2082744135228
"galway",-2.32238772029023
"gangwon-do",-2.21920348405499
"gansu",-2.21920348405499
"gard",-2.23001440015921
"gateshead",-2.36085400111802
"gauteng",-2.9492122579191
"gavleborgs lan",-2.50959926237837
"gaza",-2.13470422035489
"gelderland",-2.41591377830105
"geneve",-2.64617479738412
"genova",-2.40694510831829
"george town",-2.34180580614733
"georgia",-4.17205354654942
"gifu",-2.28238238567653
"gironde",-2.95491027903374
"glasgow city",-2.42480272571829
"gloucestershire",-2.54160199346455
"goias",-2.56494935746154
"gotlands lan",-2.24070968927596
"grad zagreb",-2.29253475714054
"grand casablanca",-2.24070968927596
"greater accra",-2.32238772029023
"greater london",-4.50921800910296
"groningen",-2.43361335540045
"guanacaste",-2.24070968927596
"guanajuato",-2.31088389580874
"guangdong",-2.58021682959233
"guangxi",-2.23001440015921
"guatemala",-2.37954613413017
"guayas",-2.39789527279837
"guerrero",-2.26176309847379
"guizhou",-2.21920348405499
"gujarat",-2.28238238567653
"gumma",-2.2655438213137
"gwynedd",-2.2082744135228
"gyeonggi-do",-3.50855589998265
"gyeongsangbuk-do",-2.28238238567653
"gyeongsangnam-do",-2.26176309847379
"gyor",-2.23001440015921
"ha noi",-2.24248116892434
"hadarom",-2.39789527279837
"hainan",-2.2082744135228
"hainaut",-2.46809953147162
"hallands lan",-2.51769647261099
"halton",-2.31253542384721
"hamburg",-3.85014760171006
"hamerkaz",-3.53222564406856
"hamilton",-2.45958884180371
"hampshire",-2.59525470695687
"harghita",-2.2082744135228
"harjumaa",-2.37024374146786
"hartlepool",-2.29253475714054
"haryana",-2.21920348405499
"hatay",-2.2082744135228
"haut-rhin",-2.31253542384721
"haute-corse",-2.2082744135228
"haute-garonne",-2.97552956623647
"haute-marne",-2.2082744135228
"haute-saone",-2.2082744135228
"haute-savoie",-2.68102152871429
"haute-vienne",-2.24070968927596
"hautes-alpes",-2.23001440015921
"hautes-pyrenees",-2.2512917986065
"hauts-de-seine",-3.89182029811063
"hawaii",-4.01152021158669
"hawke's bay",-2.2512917986065
"hebei",-2.24070968927596
"hedmark",-2.31253542384721
"hefa",-2.58399755243223
"heilongjiang",-2.2082744135228
"herault",-2.88480071284671
"herefordshire",-2.2082744135228
"hertfordshire",-3.15506431212325
"hessen",-4.33182923080697
"hhohho",-2.2082744135228
"hidalgo",-2.058388132482
"highland",-2.21920348405499
"hiroshima",-2.2655438213137
"hlavni mesto praha",-2.86220088092947
"ho chi minh",-2.2512917986065
"hofudborgarsvaedi",-2.4423470353692
"hokkaido",-2.40544247843375
"homyel'",-2.2082744135228
"horad minsk",-2.29253475714054
"hordaland",-2.96527306606928
"hovedstaden",-4.36182392735636
"hrodna",-2.21920348405499
"hubei",-2.27212588550934
"hunan",-2.23001440015921
"hunedoara",-2.2082744135228
"hyogo",-2.47092040781326
"ibaraki",-2.24248116892434
"ida-virumaa",-2.33214389523559
"idaho",-4.01392299491153
"iles du vent",-2.35137525716348
"ilfov",-2.2082744135228
"ille-et-vilaine",-2.98568193770049
"illinois",-4.24150220655839
"incheon gwangyeoksi",-2.2082744135228
"indiana",-3.92678529947292
"indre",-2.2082744135228
"indre-et-loire",-2.31253542384721
"inverclyde",-2.26176309847379
"iowa",-4.19167290618266
"ipeiros",-2.21920348405499
"irkutskaya oblast'",-2.28238238567653
"isabela",-2.2082744135228
"isere",-2.63905732961526
"ishikawa",-2.29253475714054
"islamabad",-2.2082744135228
"isparta",-2.21920348405499
"istanbul",-3.20680324363393
"istarska",-2.2082744135228
"ivano-frankivs'ka oblast'",-2.21920348405499
"iwate",-2.21920348405499
"izmir",-2.30258509299405
"jakarta raya",-2.74376828370429
"jalisco",-2.9391619220656
"jamtlands lan",-2.50959926237837
"jawa barat",-2.2512917986065
"jawa timur",-2.28238238567653
"jeju-do",-2.24070968927596
"jeollabuk-do",-2.23001440015921
"jeollanam-do",-2.2082744135228
"jiangsu",-2.39789527279837
"jiangxi",-2.2082744135228
"jihocesky kraj",-2.2082744135228
"jihomoravsky kraj",-2.27212588550934
"jilin",-2.21920348405499
"jogevamaa",-2.2082744135228
"johor",-2.2082744135228
"jonkopings lan",-2.4423470353692
"jujuy",-2.2082744135228
"jura",-2.21920348405499
"kabol",-2.63188884013665
"kadiogo",-2.2082744135228
"kaernten",-2.27212588550934
"kagawa",-2.2512917986065
"kagoshima",-2.24070968927596
"kainuu",-2.2082744135228
"kaliningradskaya oblast'",-2.27212588550934
"kalmar lan",-2.29253475714054
"kaluzhskaya oblast'",-2.23001440015921
"kampala",-2.21920348405499
"kanagawa",-3.22684399451738
"kansas",-4.27503079567532
"kanta-hame",-2.34180580614733
"kao-hsiung",-2.27212588550934
"karas",-2.2082744135228
"kareliya",-2.2082744135228
"karnataka",-3.11794990627824
"katanga",-2.2082744135228
"kauno apskritis",-2.2082744135228
"kayseri",-2.23001440015921
"kemerovskaya oblast'",-2.32238772029023
"kent",-2.54160199346455
"kentriki makedonia",-2.32238772029023
"kentucky",-4.05099412134849
"keski-pohjanmaa",-2.23001440015921
"keski-suomi",-2.39789527279837
"khabarovskiy kray",-2.33214389523559
"khanty-mansiyskiy avtonomnyy o",-2.2512917986065
"kharkivs'ka oblast'",-2.21920348405499
"khmel'nyts'ka oblast'",-2.2082744135228
"khomas",-2.29253475714054
"kingston",-2.52572864430826
"kingston upon hull",-2.50959926237837
"kinshasa",-2.2512917986065
"kirklees",-2.37024374146786
"klaipedos apskritis",-2.2082744135228
"knowsley",-2.21920348405499
"kocaeli",-2.23001440015921
"kochi",-2.058388132482
"kolamba",-2.35137525716348
"komi",-2.28238238567653
"konya",-2.23001440015921
"kosicky",-2.2082744135228
"kosovski",-2.2082744135228
"kralovehradecky kraj",-2.2082744135228
"krasnodarskiy kray",-2.64617479738412
"krasnoyarskiy kray",-2.23001440015921
"kriti",-2.2512917986065
"kronobergs lan",-2.33214389523559
"krung thep",-3.14415227867226
"krym avtonomna respublika",-2.21920348405499
"kuala lumpur",-2.81540871942271
"kujawsko-pomorskie",-2.2512917986065
"kumamoto",-2.26176309847379
"kurganskaya oblast'",-2.21920348405499
"kurskaya oblast'",-2.2082744135228
"kwazulu-natal",-2.39789527279837
"kyiv misto",-2.43361335540045
"kymenlaakso",-2.28238238567653
"kyoto",-2.37278935166729
"kyyiv misto",-2.24070968927596
"l'aquila",-2.23001440015921
"l'vivs'ka oblast'",-2.2082744135228
"la libertad",-2.2082744135228
"la pampa",-2.21920348405499
"la paz",-2.26176309847379
"laane-virumaa",-2.23001440015921
"laanemaa",-2.21920348405499
"lagos",-2.50143595173921
"lagunes",-2.14539950947163
"lancashire",-2.66025953726586
"landes",-2.23001440015921
"laois",-2.29253475714054
"lappi",-2.27212588550934
"lara",-2.41591377830105
"larnaca",-2.2082744135228
"larne",-2.2082744135228
"las palmas",-2.23001440015921
"leeds",-2.95491027903374
"leicester",-2.39789527279837
"leicestershire",-2.40694510831829
"leon",-2.21920348405499
"liaoning",-2.2512917986065
"liban-nord",-2.2082744135228
"liege",-2.53369681395743
"lilongwe",-2.2082744135228
"lima province",-2.77258872223978
"limassol",-2.21920348405499
"limburg",-2.82731362192903
"limerick",-2.3887627892351
"lincolnshire",-2.36085400111802
"lipetskaya oblast'",-2.2082744135228
"lisboa",-3.3603753871419
"lisburn",-2.23001440015921
"littoral",-2.21920348405499
"liverpool",-2.54944517092557
"ljubljana",-2.29253475714054
"lodzkie",-2.28238238567653
"loir-et-cher",-2.21920348405499
"loire",-2.28238238567653
"loire-atlantique",-2.90042209374967
"loiret",-2.71469474382088
"lop buri",-2.2512917986065
"los rios",-2.30258509299405
"lot-et-garonne",-2.32238772029023
"louisiana",-3.96187081115571
"louth",-2.29253475714054
"luanda",-2.2082744135228
"lubelskie",-2.26176309847379
"lucca",-2.23001440015921
"lusaka",-2.32238772029023
"luton",-2.4423470353692
"luxembourg",-2.89591193827178
"luzern",-2.2082744135228
"macau",-2.41591377830105
"madeira",-2.26176309847379
"madhya pradesh",-2.23001440015921
"madhyamanchal",-2.21920348405499
"madrid",-4.17529183802606
"magadanskaya oblast'",-2.2082744135228
"magherafelt",-2.2082744135228
"maharashtra",-2.8466966943935
"maine",-3.67142023274217
"maine-et-loire",-2.31163492851396
"majuro",-2.21920348405499
"makkah",-2.36085400111802
"malaga",-2.21920348405499
"malopolskie",-2.80336038090653
"managua",-2.30258509299405
"manawatu-wanganui",-2.2082744135228
"manche",-2.2082744135228
"manchester",-4.40004514017656
"manitoba",-3.27083556379891
