"ipState","ipState_risk"
"maputo",-2.2082744135228
"maputo cidade",-2.27212588550934
"maranhao",-2.34180580614733
"mardin",-2.2082744135228
"maribor",-2.21920348405499
"marijampoles apskritis",-2.2082744135228
"maritime",-2.2082744135228
"marne",-2.51769647261099
"maryland",-4.15021071845478
"masqat",-2.37954613413017
"massachusetts",-4.37462224049967
"mato grosso",-2.37954613413017
"mato grosso do sul",-2.37954613413017
"mayenne",-2.2082744135228
"mayo",-2.26176309847379
"mazowieckie",-2.94968833505258
"meath",-2.2082744135228
"mecklenburg-vorpommern",-2.45958884180371
"medway",-2.34180580614733
"mendoza",-2.2512917986065
"merida",-2.2082744135228
"mersin",-2.2082744135228
"meurthe-et-moselle",-2.66722820658196
"meuse",-2.21920348405499
"mexico",-2.39789527279837
"michigan",-4.47073613044685
"michoacan de ocampo",-2.36085400111802
"middlesbrough",-2.43361335540045
"midtjylland",-3.67122451887522
"mie",-2.24070968927596
"milano",-4.22804955088907
"milton keynes",-2.57261223020711
"minas gerais",-3.00815479355255
"minnesota",-3.99349058866617
"mississippi",-3.77563038052259
"missouri",-3.83553457986441
"miyagi",-2.32238772029023
"miyazaki",-2.01490302054226
"modena",-2.24070968927596
"monaco",-2.29253475714054
"montana",-3.81220267014593
"montevideo",-2.56494935746154
"monza e brianza",-2.32238772029023
"moravskoslezsky kraj",-2.28238238567653
"morbihan",-2.31253542384721
"more og romsdal",-2.40694510831829
"morelos",-2.15948424935337
"moselle",-2.35137525716348
"moskovskaya oblast'",-2.63905732961526
"moskva",-4.22537282462851
"mugla",-2.21920348405499
"murcia",-2.21920348405499
"mures",-2.2082744135228
"murmanskaya oblast'",-2.21920348405499
"mykolayivs'ka oblast'",-2.21920348405499
"nagano",-2.40694510831829
"nagasaki",-2.27212588550934
"nairobi area",-2.36085400111802
"nakhon pathom",-2.2082744135228
"namur",-2.2082744135228
"napoli",-2.39789527279837
"nara",-2.32238772029023
"national capital district",-2.2082744135228
"national capital region",-2.96470016430626
"navarra",-2.21920348405499
"nayarit",-2.23001440015921
"neath port talbot",-2.24070968927596
"nebraska",-4.02535169073515
"nelson city",-2.2082744135228
"neuchatel",-2.23001440015921
"neuquen",-2.21920348405499
"nevada",-4.00824186316869
"new brunswick",-2.61321609843137
"new hampshire",-4.01938152374865
"new jersey",-4.18036674955995
"new mexico",-4.02407536637554
"new providence",-2.4423470353692
"new south wales",-3.71869371682436
"new york",-4.1286766432163
"newcastle upon tyne",-2.61739583283408
"newfoundland and labrador",-2.86220088092947
"newport",-2.24070968927596
"newry and mourne",-2.21920348405499
"newtownabbey",-2.24070968927596
"niamey",-2.21920348405499
"nicosia",-2.37954613413017
"nidwalden",-2.2082744135228
"niederoesterreich",-2.47653840011748
"niedersachsen",-3.42426265459315
"nievre",-2.2082744135228
"niigata",-2.35137525716348
"nitriansky",-2.21920348405499
"nizhegorodskaya oblast'",-2.37954613413017
"none",-4.61512051684126
"nonthaburi",-2.23001440015921
"noord-brabant",-2.77881927199042
"noord-holland",-3.60234643159408
"nord",-2.79320800944252
"nord-trondelag",-2.37954613413017
"nordjylland",-2.94443897916644
"nordland",-2.40694510831829
"nordrhein-westfalen",-4.11414718951828
"norfolk",-2.51769647261099
"norrbottens lan",-2.4932054526027
"north-west",-2.21920348405499
"north carolina",-4.18220591801343
"north dakota",-3.54429822530283
"north east lincolnshire",-2.31253542384721
"north lanarkshire",-2.33214389523559
"north lincolnshire",-2.27212588550934
"north somerset",-2.26176309847379
"north tyneside",-2.2082744135228
"north yorkshire",-2.26176309847379
"northamptonshire",-2.45100509811232
"northern cape",-2.53369681395743
"northern territory",-2.2512917986065
"northumberland",-2.23001440015921
"northwest territories",-2.35137525716348
"nottingham",-2.70805020110221
"nottinghamshire",-2.19722457733622
"nova scotia",-2.68935806809006
"novgorodskaya oblast'",-2.23001440015921
"novosibirskaya oblast'",-2.54944517092557
"nuevo leon",-2.96339689291105
"nunavut",-2.2512917986065
"nuoro",-2.2082744135228
"nyiregyhaza",-2.2082744135228
"oaxaca",-2.30258509299405
"oberoesterreich",-2.69462718077007
"obwalden",-2.21920348405499
"odes'ka oblast'",-2.21920348405499
"ohio",-4.77714427425662
"oise",-2.62466859216316
"oita",-2.23001440015921
"okayama",-2.35137525716348
"okinawa",-2.45100509811232
"oklahoma",-4.40484131244005
"oldham",-2.29253475714054
"omskaya oblast'",-2.2512917986065
"ontario",-3.62689087060964
"oost-vlaanderen",-2.30258509299405
"opolskie",-2.21920348405499
"oppland",-2.40694510831829
"orebro lan",-2.46963917765721
"oregon",-4.24243294737381
"orenburgskaya oblast'",-2.2082744135228
"oristano",-2.2082744135228
"osaka",-2.91568956588045
"osjecko-baranjska",-2.2082744135228
"oslo",-4.53439000392704
"ostergotlands lan",-2.36952457566916
"ostfold",-2.30258509299405
"otago",-2.35137525716348
"ouest",-2.28238238567653
"overijssel",-2.66025953726586
"oxfordshire",-2.76000994003292
"padova",-2.3887627892351
"paijat-hame",-2.34180580614733
"palermo",-2.32238772029023
"panama",-2.64617479738412
"paphos",-2.21920348405499
"para",-2.37024374146786
"paraiba",-2.36085400111802
"paramaribo",-2.24070968927596
"parana",-3.16662513452432
"pardubicky kraj",-2.2082744135228
"paris",-4.16614829435108
"parnumaa",-2.24070968927596
"pas-de-calais",-2.30258509299405
"pattani",-2.10191439753189
"pattaya",-2.2082744135228
"pavia",-2.24070968927596
"pavlodar",-2.2082744135228
"pembrokeshire",-2.2082744135228
"pennsylvania",-3.98857696331013
"penzenskaya oblast'",-2.2082744135228
"perak",-2.23001440015921
"permskiy kray",-2.27212588550934
"pernambuco",-2.63905732961526
"perth and kinross",-2.2512917986065
"perugia",-2.29253475714054
"pescara",-2.27212588550934
"pest",-2.26176309847379
"peterborough",-2.50143595173921
"phnum penh",-2.45958884180371
"piaui",-2.29253475714054
"pichincha",-2.45100509811232
"pirkanmaa",-2.4423470353692
"pisa",-2.27212588550934
"plaines wilhems",-2.2082744135228
"plovdiv",-2.2082744135228
"plymouth",-2.32238772029023
"podgorica",-2.21920348405499
"podkarpackie",-2.23001440015921
"podlaskie",-2.24070968927596
"pohjanmaa",-2.35137525716348
"pohjois-karjala",-2.26176309847379
"pohjois-pohjanmaa",-2.51769647261099
"pohjois-savo",-2.31253542384721
"pohnpei",-2.23001440015921
"pointe-a-pitre",-2.33214389523559
"pointe-noire",-2.2082744135228
"pomorskie",-2.33214389523559
"pontevedra",-2.31253542384721
"poole",-2.46809953147162
"port-of-spain",-2.52572864430826
"port louis",-2.24070968927596
"portalegre",-2.2082744135228
"porto",-2.29253475714054
"portsmouth",-2.56494935746154
"powys",-2.2082744135228
"praia",-2.2082744135228
"primorskiy kray",-2.32238772029023
"primorsko-goranska",-2.15598161880217
"prince edward island",-2.45958884180371
"pskovskaya oblast'",-2.21920348405499
"puebla",-2.4932054526027
"pulau pinang",-2.24070968927596
"punjab",-2.23001440015921
"puy-de-dome",-2.53369681395743
"pyrenees-atlantiques",-2.57261223020711
"pyrenees-orientales",-2.21920348405499
"qaasuitsup",-2.21920348405499
"qandahar",-2.2512917986065
"qeqqata",-2.2082744135228
"quebec",-3.40366347415735
"queensland",-4.63472898822964
"queretaro de arteaga",-2.33214389523559
"quintana roo",-2.11718186966268
"rabat - sale - zemmour - zaer",-2.24070968927596
"ravenna",-2.2082744135228
"reading",-2.83321334405622
"region metropolitana",-3.57794789340665
"renfrewshire",-2.37024374146786
"rheinland-pfalz",-2.94443897916644
"rhode island",-3.4626060097908
"rhondda cynon taff",-2.2512917986065
"rhone",-3.13943899422017
"riga",-2.53369681395743
"rimini",-2.35137525716348
"rio de janeiro",-3.74132592948648
"rio grande do norte",-2.36085400111802
"rio grande do sul",-3.09557760852371
"rio negro",-2.2082744135228
"risaralda",-2.2082744135228
"rizal",-2.2082744135228
"rochdale",-2.35137525716348
"rogaland",-3.01553490085017
"roma",-3.03974915897077
"rondonia",-2.31253542384721
"roraima",-2.2082744135228
"rostovskaya oblast'",-2.29253475714054
"rotherham",-2.33214389523559
"ruse",-2.21920348405499
"ryazanskaya oblast'",-2.21920348405499
"saarland",-2.51769647261099
"saba",-2.2082744135228
"sachsen",-2.88480071284671
"sachsen-anhalt",-2.54160199346455
"saga",-2.2512917986065
"saint-pierre",-2.23001440015921
"saint andrew",-2.21920348405499
"saint george",-2.32238772029023
"saint george's",-2.21920348405499
"saint george basseterre",-2.28238238567653
"saint john",-2.21920348405499
"saint michael",-2.3887627892351
"saipan",-2.2082744135228
"saitama",-2.7408400239252
"sakarya",-2.2082744135228
"sakha",-2.23001440015921
"sakhalinskaya oblast'",-2.2512917986065
"salerno",-2.21920348405499
"salford",-2.40694510831829
"salzburg",-2.42480272571829
"samarskaya oblast'",-2.3887627892351
"samsun",-2.2512917986065
"samut prakan",-2.2082744135228
"san cristobal",-2.2082744135228
"san fernando",-2.2082744135228
"san jose",-2.55793178480289
"san juan",-2.2082744135228
"san luis",-2.2082744135228
"san luis potosi",-2.26176309847379
"san salvador",-4.078050922736
"sandwell",-2.30258509299405
"sankt-peterburg",-2.89591193827178
"sankt gallen",-2.34180580614733
"santa catarina",-2.59931700096574
"santa cruz",-2.24070968927596
"santa fe",-2.27212588550934
"santander",-2.2082744135228
"santiago",-2.24070968927596
"sao paulo",-4.30152809395758
"saone-et-loire",-2.26176309847379
"saratovskaya oblast'",-2.28238238567653
"sarawak",-2.2082744135228
"sarthe",-2.45100509811232
"saskatchewan",-2.73662357354627
"sassari",-2.2082744135228
"satakunta",-2.54944517092557
"savoie",-2.24070968927596
"savona",-2.30258509299405
"schaffhausen",-2.21920348405499
"schleswig-holstein",-2.67414864942653
"sefton",-2.23001440015921
"seine-et-marne",-2.72785282839839
"seine-maritime",-2.75366071235426
"seine-saint-denis",-3.2188758248682
"sejong",-2.2082744135228
"selangor",-2.37024374146786
"seoul teukbyeolsi",-4.27249074760557
"sergipe",-2.27212588550934
"sermersooq",-2.23001440015921
"setubal",-2.2512917986065
"sevilla",-2.26176309847379
"shandong",-2.21920348405499
"shanghai shi",-2.62466859216316
"sheffield",-4.49583352195063
"shiga",-2.29253475714054
"shimane",-2.23001440015921
"shizuoka",-2.09714111877924
"shropshire",-2.24070968927596
"sichuan",-2.17681570570501
"sinaloa",-2.26176309847379
"sindh",-2.07944154167984
"sint eustatius",-2.2082744135228
"sjaelland",-3.03974915897077
"skane lan",-3.17805383034795
"slaskie",-2.33214389523559
"sligo",-2.2512917986065
"sliven",-2.23001440015921
"slough",-3.37354585033165
"smolenskaya oblast'",-2.2082744135228
"sodermanlands lan",-2.24070968927596
"sofala",-2.2082744135228
"sofiya-grad",-2.35137525716348
"sogn og fjordane",-2.30258509299405
"solihull",-2.51769647261099
"solothurn",-2.34180580614733
"somerset",-2.24070968927596
"somme",-2.52572864430826
"sonora",-2.36085400111802
"sor-trondelag",-2.77881927199042
"south-east",-2.24070968927596
"south australia",-3.9740583963476
"south ayrshire",-2.21920348405499
"south carolina",-3.76344814961144
"south dakota",-3.64196253432618
"south lanarkshire",-2.40694510831829
"south tyneside",-2.33214389523559
"southampton",-2.55722731136763
"southend-on-sea",-2.2082744135228
"southern",-2.31253542384721
"splitsko-dalmatinska",-2.23001440015921
"st helens",-2.2082744135228
"staffordshire",-2.51769647261099
"stara zagora",-2.2082744135228
"stavropol'skiy kray",-2.23001440015921
"steiermark",-2.81540871942271
"stirling",-2.26176309847379
"stockholms lan",-4.24849524204936
"stockport",-2.3887627892351
"stockton-on-tees",-2.27212588550934
"stoke-on-trent",-2.50959926237837
"stredocesky kraj",-2.2512917986065
"streymoyar",-2.29253475714054
"sud",-2.3887627892351
"sudurnes",-2.2082744135228
"suffolk",-2.73436750941958
"sumatera utara",-2.17681570570501
"sums'ka oblast'",-2.2082744135228
"sunderland",-2.31253542384721
"surrey",-2.88021938643215
"sverdlovskaya oblast'",-2.43361335540045
"swansea",-2.33214389523559
"swietokrzyskie",-2.2082744135228
"swindon",-2.37954613413017
"syddanmark",-3.21084365317094
"szeged",-2.2082744135228
"t'ai-pei",-3.29953372788566
"t'ai-wan",-3.02042488614436
"tabasco",-2.15948424935337
"tamaulipas",-2.37954613413017
"tameside",-2.33214389523559
"tamil nadu",-2.42480272571829
"tanger - tetouan",-2.2082744135228
"tarabulus",-2.2512917986065
"taranaki",-2.2082744135228
"taranto",-2.23001440015921
"tarn",-2.2512917986065
"tarn-et-garonne",-2.24070968927596
"tartumaa",-2.2512917986065
"tasmania",-2.82137888640921
"tatarstan",-2.29253475714054
"tbilisi",-2.21920348405499
"tel aviv",-2.32238772029023
"telemark",-2.37954613413017
"telford and wrekin",-2.31253542384721
"tennessee",-4.33029464758353
"ternopil's'ka oblast'",-2.2082744135228
"territoire de belfort",-2.23001440015921
"texas",-4.56077313572523
"the vale of glamorgan",-2.23001440015921
"thessalia",-2.2082744135228
"thueringen",-2.61739583283408
"thurgau",-2.21920348405499
"thurrock",-2.34180580614733
"tianjin shi",-2.2512917986065
"ticino",-2.21920348405499
"timis",-2.23001440015921
"tipperary",-2.2082744135228
"tirane",-2.21920348405499
"tirol",-2.50143595173921
"tlaxcala",-2.21920348405499
"tocantins",-2.27212588550934
"tochigi",-2.28238238567653
"tokushima",-2.24070968927596
"tokyo",-1.75785791755237
"tomskaya oblast'",-2.26176309847379
"torbay",-2.2082744135228
"torfaen",-2.2512917986065
"torino",-2.55722731136763
"tottori",-2.23001440015921
"toyama",-2.4423470353692
"trabzon",-2.23001440015921
"trafford",-2.47653840011748
"trento",-2.24070968927596
"treviso",-2.2082744135228
"trieste",-2.23001440015921
"trnavsky",-2.21920348405499
"troms",-2.58776403522771
"tul'skaya oblast'",-2.21920348405499
"tulcea",-2.2082744135228
"tungurahua",-2.2082744135228
"tunis",-2.058388132482
"tverskaya oblast'",-2.21920348405499
"tyumenskaya oblast'",-2.26176309847379
"udine",-2.2082744135228
"udmurtiya",-2.2082744135228
"ul'yanovskaya oblast'",-2.2512917986065
"ulaanbaatar",-2.26176309847379
"ulsan gwangyeoksi",-2.23001440015921
"unknown",-3.34550847580157
"uppsala lan",-2.28238238567653
"uri",-2.2082744135228
"ustecky kraj",-2.2082744135228
"utah",-4.29273994384712
"utrecht",-2.71469474382088
"uttar pradesh",-2.21920348405499
"uusimaa",-3.91020316871116
"vaduz",-2.2512917986065
"val-d'oise",-2.94968833505258
"val-de-marne",-2.68784749378469
"valais",-2.34180580614733
"valencia",-2.53369681395743
"valladolid",-2.21920348405499
"valle del cauca",-2.26176309847379
"valparaiso",-2.43361335540045
"var",-2.60268968544438
"varazdinska",-2.21920348405499
"varese",-2.23001440015921
"varmlands lan",-2.33214389523559
"varna",-2.2082744135228
"varsinais-suomi",-2.67414864942653
"vaslui",-2.2082744135228
"vasterbottens lan",-2.61739583283408
"vasternorrlands lan",-2.4423470353692
"vastmanlands lan",-2.39789527279837
"vastra gotalands lan",-3.23867845216438
"vaucluse",-2.31253542384721
"vaud",-3.56104608260405
"vendee",-2.24070968927596
"venezia",-2.3887627892351
"ventspils pilseta",-2.2082744135228
"veracruz-llave",-2.40694510831829
"vermont",-2.97552956623647
"verona",-2.27212588550934
"vest-agder",-2.40694510831829
"vestfold",-2.36085400111802
"vesturland",-2.10191439753189
"veszprem county",-2.2082744135228
"viangchan city",-2.23001440015921
"vicenza",-2.2082744135228
"victoria",-4.5978098315818
"vienne",-2.79728133483015
"viljandimaa",-2.2082744135228
"vilniaus apskritis",-2.32238772029023
"vinh phuc",-2.2082744135228
"virginia",-4.06725127156657
"vlaams-brabant",-2.50959926237837
"vladimirskaya oblast'",-2.21920348405499
"volgogradskaya oblast'",-2.24070968927596
"vologodskaya oblast'",-2.23001440015921
"vorarlberg",-2.32238772029023
"voronezhskaya oblast'",-2.26176309847379
"vosges",-2.2082744135228
"vysocina",-2.23001440015921
"waikato",-2.24070968927596
"wakayama",-2.02595285672885
"wakefield",-2.32238772029023
"walsall",-2.37024374146786
"warminsko-mazurskie",-2.21920348405499
"warrington",-2.3887627892351
"warwickshire",-2.42480272571829
"washington",-5.10542585840435
"waterford",-2.39789527279837
"wellington",-2.58776403522771
"west-vlaanderen",-2.27212588550934
"west bengal",-2.03688192726104
"west berkshire",-2.50143595173921
"west dunbartonshire",-2.2512917986065
"west lothian",-2.36085400111802
"west sussex",-2.4423470353692
"west virginia",-3.59216203461213
"western australia",-4.40793801645838
"western cape",-2.80839817493649
"westmeath",-2.3887627892351
"wicklow",-2.23001440015921
"wielkopolskie",-2.41591377830105
"wien",-3.52368314684545
"wigan",-2.30258509299405
"wiltshire",-2.4423470353692
"windsor and maidenhead",-2.30258509299405
"wirral",-2.37954613413017
"wisconsin",-4.39444915467244
"wokingham",-2.21920348405499
"wolverhampton",-2.46809953147162
"worcestershire",-2.33214389523559
"wrexham",-2.33214389523559
"wyoming",-3.08190996979504
"yamagata",-2.24070968927596
"yamaguchi",-2.24070968927596
"yamalo-nenetskiy avtonomnyy ok",-2.26176309847379
"yamanashi",-2.27212588550934
"yangon",-2.21920348405499
"yaroslavskaya oblast'",-2.27212588550934
"yerevan",-2.2512917986065
"yerushalayim",-2.23001440015921
"yogyakarta",-2.21920348405499
"yonne",-2.24070968927596
"york",-2.43361335540045
"yucatan",-2.29253475714054
"yukon",-2.41591377830105
"yunnan",-2.2082744135228
"yvelines",-2.73790316425189
"zachodniopomorskie",-2.26176309847379
"zanzibar urban/west",-2.21920348405499
"zaragoza",-2.2082744135228
"zeeland",-2.28238238567653
"zhejiang",-2.35137525716348
"zlinsky kraj",-2.33214389523559
"zuerich",-4.53903038348355
"zug",-2.39789527279837
"zuid-holland",-3.54577861047326
"zulia",-2.2082744135228
"zurich",-2.77881927199042
